group,area,Daily Deaths,Daily Cases,Deaths,Cases,code,population,Deaths per Million,Cases per Million,date
usa,Alabama,0,0,16914,1238957,AL,4.9,3452.0,252850.0,2022-01-27
usa,Alaska,0,0,1081,206504,AK,0.73,1481.0,282880.0,2022-01-27
usa,American Samoa,0,0,0,18,AS,0.055,0.0,330.0,2022-01-27
usa,Arizona,33,14293,25932,1813796,AZ,7.28,3562.0,249150.0,2022-01-27
usa,Arkansas,22,6016,9596,762401,AR,3.02,3177.0,252450.0,2022-01-27
usa,California,261,43704,79400,8171803,CA,39.51,2010.0,206830.0,2022-01-27
usa,Colorado,52,10385,11005,1233278,CO,5.76,1911.0,214110.0,2022-01-27
usa,Connecticut,7,3036,9908,693386,CT,3.57,2775.0,194230.0,2022-01-27
usa,Cruise Ship,0,0,3,152,,,,,2022-01-27
usa,Delaware,1,1528,2494,244730,DE,0.97,2571.0,252300.0,2022-01-27
usa,District of Columbia,2,371,1282,129479,DC,0.71,1806.0,182360.0,2022-01-27
usa,Florida,0,27533,64368,5448288,FL,21.48,2997.0,253640.0,2022-01-27
usa,Georgia,115,21708,32718,2327733,GA,10.62,3081.0,219180.0,2022-01-27
usa,Guam,1,743,284,30221,GU,0.165,1721.0,183160.0,2022-01-27
usa,Hawaii,10,2380,1159,211267,HI,1.42,816.0,148780.0,2022-01-27
usa,Idaho,8,3777,4365,372442,ID,1.79,2439.0,208070.0,2022-01-27
usa,Illinois,149,14446,33001,2881745,IL,12.67,2605.0,227450.0,2022-01-27
usa,Indiana,109,12198,21165,1587005,IN,6.73,3145.0,235810.0,2022-01-27
usa,Iowa,0,3507,8501,703366,IA,3.16,2690.0,222580.0,2022-01-27
usa,Kansas,0,55,7391,710381,KS,2.91,2540.0,244120.0,2022-01-27
usa,Kentucky,39,12530,12856,1125181,KY,4.47,2876.0,251720.0,2022-01-27
usa,Louisiana,47,6629,15570,1098790,LA,4.65,3348.0,236300.0,2022-01-27
usa,Maine,12,1526,1728,171524,ME,1.34,1290.0,128000.0,2022-01-27
usa,Maryland,54,3256,13334,946869,MD,6.05,2204.0,156510.0,2022-01-27
usa,Massachusetts,87,9697,21839,1590302,MA,6.89,3170.0,230810.0,2022-01-27
usa,Michigan,0,0,31985,2203646,MI,9.99,3202.0,220590.0,2022-01-27
usa,Minnesota,67,14617,11489,1295117,MN,5.64,2037.0,229630.0,2022-01-27
usa,Mississippi,32,6535,10806,712133,MS,2.98,3626.0,238970.0,2022-01-27
usa,Missouri,16,9593,17362,1309385,MO,6.63,2619.0,197490.0,2022-01-27
usa,Montana,0,2911,2990,235967,MT,1.07,2794.0,220530.0,2022-01-27
usa,Nebraska,25,3615,3657,432564,NE,1.93,1895.0,224130.0,2022-01-27
usa,Nevada,38,4764,8874,643695,NV,3.08,2881.0,208990.0,2022-01-27
usa,New Hampshire,20,2263,2193,270063,NH,1.36,1612.0,198580.0,2022-01-27
usa,New Jersey,115,6724,31208,2092109,NJ,8.88,3514.0,235600.0,2022-01-27
usa,New Mexico,34,5182,6391,465244,NM,2.1,3043.0,221540.0,2022-01-27
usa,New York,191,16887,64285,4764422,NY,23.63,2720.0,201630.0,2022-01-27
usa,North Carolina,77,28753,20517,2352235,NC,10.49,1956.0,224240.0,2022-01-27
usa,North Dakota,2,2146,2137,218960,ND,0.76,2812.0,288110.0,2022-01-27
usa,Northern Mariana Islands,1,124,23,4564,MP,0.054,426.0,84520.0,2022-01-27
usa,Ohio,0,12108,33071,2552972,OH,11.69,2829.0,218390.0,2022-01-27
usa,Oklahoma,4,13428,13129,944461,OK,3.96,3315.0,238500.0,2022-01-27
usa,Oregon,19,7858,6067,613221,OR,4.22,1438.0,145310.0,2022-01-27
usa,Pennsylvania,325,16695,40257,2622134,PA,12.8,3145.0,204850.0,2022-01-27
usa,Puerto Rico,19,1727,3773,450699,PR,3.194,1181.0,141110.0,2022-01-27
usa,Rhode Island,13,1912,3288,339571,RI,1.06,3102.0,320350.0,2022-01-27
usa,South Carolina,26,9934,15181,1338384,SC,5.15,2948.0,259880.0,2022-01-27
usa,South Dakota,5,1358,2628,224238,SD,0.88,2986.0,254820.0,2022-01-27
usa,Tennessee,0,0,22142,1771783,TN,6.83,3242.0,259410.0,2022-01-27
usa,Texas,231,38654,78855,6121818,TX,29.0,2719.0,211100.0,2022-01-27
usa,Utah,6,7033,4097,869085,UT,3.21,1276.0,270740.0,2022-01-27
usa,Vermont,2,1532,529,102153,VT,0.62,853.0,164760.0,2022-01-27
usa,Virgin Islands,0,67,98,14756,VI,0.106,925.0,139210.0,2022-01-27
usa,Virginia,36,11743,16088,1514862,VA,8.54,1884.0,177380.0,2022-01-27
usa,Washington,0,0,10580,1257918,WA,7.61,1390.0,165300.0,2022-01-27
usa,West Virginia,23,5205,5697,434221,WV,1.79,3183.0,242580.0,2022-01-27
usa,Wisconsin,23,8882,12178,1494936,WI,5.82,2092.0,256860.0,2022-01-27
usa,Wyoming,0,2039,1625,143129,WY,0.58,2802.0,246770.0,2022-01-27
world,Afghanistan,2,312,7403,161004,AFG,38.928341,190.0,4140.0,2022-01-27
world,Albania,6,1562,3323,252577,ALB,2.8778,1155.0,87770.0,2022-01-27
world,Algeria,13,2130,6539,245698,DZA,43.851043,149.0,5600.0,2022-01-27
world,Andorra,0,0,145,35028,AND,0.077265,1877.0,453350.0,2022-01-27
world,Angola,1,89,1893,97901,AGO,32.866268,58.0,2980.0,2022-01-27
world,Antigua and Barbuda,1,82,127,6524,ATG,0.097928,1297.0,66620.0,2022-01-27
world,Argentina,333,77729,120352,8207752,ARG,45.195777,2663.0,181600.0,2022-01-27
world,Armenia,2,2556,8035,358218,ARM,2.963234,2712.0,120890.0,2022-01-27
world,Australia,87,66223,3477,2457285,AUS,25.4597,137.0,96520.0,2022-01-27
world,Austria,12,43053,14042,1727661,AUT,9.0064,1559.0,191830.0,2022-01-27
world,Azerbaijan,14,3361,8664,643509,AZE,10.139175,855.0,63470.0,2022-01-27
world,Bahamas,4,94,735,32376,BHS,0.393248,1869.0,82330.0,2022-01-27
world,Bahrain,2,5255,1402,348655,BHR,1.701583,824.0,204900.0,2022-01-27
world,Bangladesh,15,15807,28288,1747331,BGD,164.68938300000002,172.0,10610.0,2022-01-27
world,Barbados,0,767,277,42122,BRB,0.287371,964.0,146580.0,2022-01-27
world,Belarus,16,1974,5992,734078,BLR,9.449321,634.0,77690.0,2022-01-27
world,Belgium,36,68285,28938,3007724,BEL,11.589616,2497.0,259520.0,2022-01-27
world,Belize,0,735,624,49794,BLZ,0.397621,1569.0,125230.0,2022-01-27
world,Benin,0,0,163,26450,BEN,12.123198,13.0,2180.0,2022-01-27
world,Bhutan,0,136,3,4225,BTN,0.771612,4.0,5480.0,2022-01-27
world,Bolivia,50,6587,20824,841757,BOL,11.673029,1784.0,72110.0,2022-01-27
world,Bosnia and Herzegovina,58,2632,14243,341913,BIH,3.280815,4341.0,104220.0,2022-01-27
world,Botswana,15,4842,2580,250746,BWA,2.351625,1097.0,106630.0,2022-01-27
world,Brazil,673,229702,625390,24789795,BRA,212.559409,2942.0,116630.0,2022-01-27
world,Brunei,0,27,98,16206,BRN,0.437483,224.0,37040.0,2022-01-27
world,Bulgaria,78,9874,33017,923466,BGR,6.948445,4752.0,132900.0,2022-01-27
world,Burkina Faso,0,0,366,20591,BFA,20.903278,18.0,990.0,2022-01-27
world,Burundi,0,95,38,37265,BDI,11.890781,3.0,3130.0,2022-01-27
world,Cabo Verde,0,52,393,55595,CPV,0.555988,707.0,99990.0,2022-01-27
world,Cambodia,0,34,3015,121150,KHM,16.718971,180.0,7250.0,2022-01-27
world,Cameroon,0,0,1867,114113,CMR,26.545864,70.0,4300.0,2022-01-27
world,Canada,309,31280,33368,2997728,CAN,37.855702,881.0,79190.0,2022-01-27
world,Central African Republic,1,58,110,13898,CAF,4.829764,23.0,2880.0,2022-01-27
world,Chad,0,0,190,7075,TCD,16.425859,12.0,430.0,2022-01-27
world,Chile,47,25792,39594,2045874,CHL,19.116209,2071.0,107020.0,2022-01-27
world,China,0,252,4851,119404,CHN,1404.67633,3.0,90.0,2022-01-27
world,Colombia,273,17663,133292,5816462,COL,50.882884,2620.0,114310.0,2022-01-27
world,Comoros,0,3,159,7824,COM,0.8695950000000001,183.0,9000.0,2022-01-27
world,Congo (Brazzaville),0,168,371,23653,COG,5.518092,67.0,4290.0,2022-01-27
world,Congo (Kinshasa),0,49,1278,84926,COD,89.56140400000001,14.0,950.0,2022-01-27
world,Costa Rica,16,6969,7521,675178,CRI,5.094114,1476.0,132540.0,2022-01-27
world,Cote d'Ivoire,0,91,782,80487,CIV,26.378275,30.0,3050.0,2022-01-27
world,Croatia,59,10500,13625,909674,HRV,4.105268,3319.0,221590.0,2022-01-27
world,Cruise Ship,0,0,15,721,,,,,2022-01-27
world,Cuba,7,2814,8383,1033984,CUB,11.326616,740.0,91290.0,2022-01-27
world,Cyprus,0,2536,724,246354,CYP,1.207361,600.0,204040.0,2022-01-27
world,Czechia,22,54866,37114,2888827,CZE,10.708982,3466.0,269760.0,2022-01-27
world,Denmark,20,52001,3697,1610313,DNK,5.792203,638.0,278010.0,2022-01-27
world,Djibouti,0,15,189,15411,DJI,0.988002,191.0,15600.0,2022-01-27
world,Dominica,0,0,51,8838,DMA,0.071991,708.0,122770.0,2022-01-27
world,Dominican Republic,2,2929,4295,550020,DOM,10.847904,396.0,50700.0,2022-01-27
world,Ecuador,0,0,34362,691898,ECU,17.643060000000002,1948.0,39220.0,2022-01-27
world,Egypt,36,1985,22496,417453,EGY,102.334403,220.0,4080.0,2022-01-27
world,El Salvador,5,0,3871,127012,SLV,6.486201,597.0,19580.0,2022-01-27
world,Equatorial Guinea,0,0,182,15774,GNQ,1.402985,130.0,11240.0,2022-01-27
world,Eritrea,1,28,97,9436,ERI,3.546427,27.0,2660.0,2022-01-27
world,Estonia,5,6234,2023,313685,EST,1.326539,1525.0,236470.0,2022-01-27
world,Eswatini,2,34,1373,68239,SWZ,1.160164,1183.0,58820.0,2022-01-27
world,Ethiopia,11,456,7303,463921,ETH,114.963583,64.0,4040.0,2022-01-27
world,Fiji,0,0,791,62203,FJI,0.896444,882.0,69390.0,2022-01-27
world,Finland,25,6271,1919,470665,FIN,5.540718,346.0,84950.0,2022-01-27
world,France,269,393597,131008,18241888,FRA,65.273512,2007.0,279470.0,2022-01-27
world,Gabon,0,0,301,46469,GAB,2.225728,135.0,20880.0,2022-01-27
world,Gambia,0,0,347,11572,GMB,2.416664,144.0,4790.0,2022-01-27
world,Georgia,27,17484,14840,1110168,GEO,3.989175,3720.0,278300.0,2022-01-27
world,Germany,170,160323,117488,9477603,DEU,83.78394499999999,1402.0,113120.0,2022-01-27
world,Ghana,2,120,1384,156392,GHA,31.072945,45.0,5030.0,2022-01-27
world,Greece,113,19712,23083,1867935,GRC,10.423056,2215.0,179210.0,2022-01-27
world,Grenada,3,274,210,12090,GRD,0.112519,1866.0,107450.0,2022-01-27
world,Guatemala,23,4094,16317,681308,GTM,17.915567000000003,911.0,38030.0,2022-01-27
